,t,zone_temp,hvac_power,out_temp,out_solar,csp,hsp
0,13910400.0,22.96226346283525,1484.563233164991,21.73333333333333,0.0,22.0,16.0
1,13911000.0,22.02321535234495,1312.997509596421,21.26666666666667,0.0,22.0,16.0
2,13911600.0,22.00619577165705,1164.206258483586,20.8,0.0,22.0,16.0
3,13912200.0,22.00020519836663,1045.445375778218,20.33333333333333,0.0,22.0,16.0
4,13912800.0,22.00025716765136,881.8022294928536,19.86666666666667,0.0,22.0,16.0
5,13913400.0,22.00020614715239,791.0237042410164,19.4,0.0,22.0,16.0
6,13914000.0,22.00015991480046,714.4917368510223,19.21666666666667,0.0,22.0,16.0
7,13914600.0,22.00012242408926,651.7206100250335,19.03333333333333,0.0,22.0,16.0
8,13915200.0,22.00009481565618,598.4179801305036,18.85,0.0,22.0,16.0
9,13915800.0,22.00007074478792,552.1085213188536,18.66666666666666,0.0,22.0,16.0
10,13916400.0,21.99960507304667,514.949378343275,18.48333333333333,0.0,22.0,16.0
11,13917000.0,21.99961183503465,478.1502653412678,18.3,0.0,22.0,16.0
12,13917600.0,21.99998113606942,439.6273812930558,17.93333333333334,0.0,22.0,16.0
13,13918200.0,21.99972503473125,404.3937334605721,17.56666666666667,0.0,22.0,16.0
14,13918800.0,21.99975087937136,370.6657007240979,17.2,0.0,22.0,16.0
15,13919400.0,21.99978064130575,339.3486076715209,16.83333333333334,0.0,22.0,16.0
16,13920000.0,21.99982585808588,309.0437853274528,16.46666666666667,0.0,22.0,16.0
17,13920600.0,21.99975036962712,279.5330288074194,16.1,0.0,22.0,16.0
18,13921200.0,21.99985970980845,258.5384359766516,16.1,0.0,22.0,16.0
19,13921800.0,21.9997723543926,238.5598155025677,16.1,0.0,22.0,16.0
20,13922400.0,21.99682866127356,220.4905293900664,16.1,0.0,22.0,16.0
21,13923000.0,21.9963245892257,198.5980649605051,16.1,0.0,22.0,16.0
22,13923600.0,21.99531214625183,180.5957315313307,16.1,0.0,22.0,16.0
23,13924200.0,21.9940698493309,160.4899960545662,16.1,0.0,22.0,16.0
24,13924800.0,21.99625383334702,136.4063942328639,15.63333333333333,0.0,22.0,16.0
25,13925400.0,21.99481857511309,114.2041954269378,15.16666666666667,0.0,22.0,16.0
26,13926000.0,21.9997423456789,85.65369072987815,14.7,0.0,22.0,16.0
27,13926600.0,21.99978545532566,60.2010883894386,14.23333333333333,0.0,22.0,16.0
28,13927200.0,21.99287559150209,42.85714285714288,13.76666666666667,0.0,22.0,16.0
29,13927800.0,21.95668724684904,42.85714285714288,13.3,0.0,22.0,16.0
30,13928400.0,21.93965696284058,42.85714285714288,14.05,0.0,22.0,16.0
31,13929000.0,21.9590106428621,42.85714285714288,14.8,0.0,22.0,16.0
32,13929600.0,21.99103983070896,42.85714285714288,15.55,0.0,22.0,16.0
33,13930200.0,21.99966652200718,2074.410996644707,16.3,118.0,22.0,16.0
34,13930800.0,21.9997998988511,947.6318473982665,17.05,184.0,22.0,16.0
35,13931400.0,21.99975838587751,167.4250822652017,17.8,250.0,22.0,16.0
36,13932000.0,21.99997589592393,202.7662398929823,18.16666666666667,316.0,22.0,16.0
37,13932600.0,21.99997236468159,233.4607881248779,18.53333333333333,382.0000000000001,22.0,16.0
38,13933200.0,21.99997176591518,264.4687779482861,18.9,448.0,22.0,16.0
39,13933800.0,21.99996974375527,290.627168368989,19.26666666666667,473.8333333333334,22.0,16.0
40,13934400.0,21.99997057971515,314.3841444134889,19.63333333333333,499.6666666666666,22.0,16.0
41,13935000.0,21.99995395118195,338.480171771174,20.0,525.5,22.0,16.0
42,13935600.0,21.99994956480211,981.8249307177614,20.28333333333333,551.3333333333334,22.0,16.0
43,13936200.0,21.99995130288965,2687.818246613757,20.56666666666667,577.1666666666666,22.0,16.0
44,13936800.0,21.99994452080991,401.2454706846213,20.85,603.0,22.0,16.0
45,13937400.0,21.99993800672662,423.9478646836436,21.13333333333333,635.1666666666666,22.0,16.0
46,13938000.0,21.99993141853143,448.0854582928847,21.41666666666666,667.3333333333333,22.0,16.0
47,13938600.0,21.99992533631745,473.4626400661413,21.7,699.5,22.0,16.0
48,13939200.0,21.9999149062984,448.3789938255627,21.96666666666667,731.6666666666667,22.0,16.0
49,13939800.0,21.9999096610853,1552.751459216786,22.23333333333333,763.8333333333334,22.0,16.0
50,13940400.0,21.9999025887134,2364.407479778649,22.5,796.0,22.0,16.0
51,13941000.0,21.9998940816628,514.8337780646867,22.76666666666667,805.8333333333334,22.0,16.0
52,13941600.0,21.99988664374026,535.3354828979259,23.03333333333333,815.6666666666667,22.0,16.0
53,13942200.0,21.99988107920693,556.5420799878923,23.3,825.5,22.0,16.0
54,13942800.0,21.99987028310041,560.1444102130909,23.58333333333334,835.3333333333334,22.0,16.0
55,13943400.0,21.9998615421806,582.3501411990405,23.86666666666667,845.1666666666666,22.0,16.0
56,13944000.0,21.99989267600408,3164.352502035574,24.15,855.0,22.0,16.0
57,13944600.0,21.9998855965438,1012.84778096309,24.43333333333333,860.3333333333333,22.0,16.0
58,13945200.0,21.99993217375786,651.1918009362757,24.71666666666667,865.6666666666667,22.0,16.0
59,13945800.0,21.99992928425898,672.9663430419854,25.0,871.0,22.0,16.0
60,13946400.0,22.70811522246433,42.85714285714288,25.28333333333333,876.3333333333333,24.0,16.0
61,13947000.0,23.11783296453429,42.85714285714288,25.56666666666667,881.6666666666667,24.0,16.0
62,13947600.0,23.50840829198724,42.85714285714288,25.85,887.0,24.0,16.0
63,13948200.0,23.98701006036213,1191.741135863899,26.13333333333333,889.0,24.0,16.0
